player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Charlie Kolar,60917,TE,BLT,1,0,0,,1,0,3,0,0,,60.0,60.1,60.0,,,0,0,0,0,,,0,0,3,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
Keion White,60998,ED,SF,14,5,1,,0,0,28,1,0,63.0,58.3,89.7,61.6,47.5,49.9,4,17,0,0,,15.8,3,0,0,0.0,0,2,0,21,0,3,441,420,3,54,316,47,0,21,299,139,0,9,11,1,0,23,0,0,0,
Noah Igbinoghene,61155,CB,WAS,14,11,0,64.5,0,0,32,0,0,54.4,55.6,81.5,78.0,54.1,51.8,1,1,0,0,42,14.3,6,4,3,96.6,20,1,0,68,65,233,373,3,0,0,3,0,0,370,4,136,237,8,25,0,31,3,0,303,178,15.2
Dominique Robinson,61436,ED,CHI,11,5,0,100.0,0,0,6,0,0,46.5,55.3,86.6,57.6,55.9,51.9,1,9,0,0,28,15.0,3,0,0,118.8,2,2,0,1,0,7,215,214,0,1,201,12,0,1,118,90,0,9,12,2,2,12,0,41,31,20.5
Daiyan Henley,61500,LB,LAC,16,27,0,81.3,0,0,27,0,0,48.4,54.1,66.3,68.4,58.8,77.9,2,9,0,2,29,7.9,8,3,2,91.9,61,4,0,733,5,529,930,101,0,0,101,0,1,829,63,338,90,27,66,2,75,15,1,574,385,9.4
Tariq Woolen,61790,CB,SEA,16,1,0,57.4,2,0,29,0,0,61.7,61.2,0.0,70.0,70.7,29.7,1,0,0,1,45,22.4,11,8,8,78.9,39,0,0,29,761,566,817,14,0,0,14,0,0,803,2,249,13,13,37,2,68,1,3,333,153,8.5
Christian Elliss,61853,LB,NE,15,23,0,87.9,0,1,19,0,0,57.9,61.4,47.4,71.7,61.2,52.8,4,6,0,0,23,14.8,13,3,1,111.9,29,0,0,450,4,257,506,17,0,0,17,0,1,489,56,193,34,18,52,0,33,10,1,278,193,9.6
Charles Snowden,62775,ED,LV,14,6,0,88.9,0,0,23,0,0,72.3,70.5,85.3,68.3,62.3,76.2,1,7,0,1,13,4.0,1,0,0,50.7,8,3,0,19,0,76,324,293,0,0,292,1,0,31,52,196,12,18,18,3,9,11,0,51,39,6.4
Theo Jackson,62919,S,MIN,13,15,0,70.0,0,1,18,1,0,65.7,68.4,86.7,73.5,65.3,64.6,0,0,0,0,31,13.2,7,0,0,97.5,7,2,0,84,8,302,529,21,0,0,21,0,369,508,11,216,47,9,31,0,10,2,0,89,51,12.7
Matthew Butler,62931,DI,MIA,12,6,0,,0,0,17,0,0,57.0,43.3,28.2,53.6,47.2,50.9,1,6,0,0,,16.7,3,0,2,0.0,0,0,0,0,0,3,215,215,2,118,32,63,0,0,104,108,0,4,9,0,0,7,0,0,0,
Jack Cochrane,63345,LB,KC,8,3,0,66.7,0,0,16,0,0,83.2,78.5,77.4,56.2,65.1,77.4,0,0,0,1,8,0.0,0,0,0,34.7,2,0,0,40,0,25,62,19,0,0,19,0,0,43,2,35,2,0,2,0,3,0,0,12,8,6.0
Akayleb Evans,65033,CB,CAR,5,0,0,75.0,0,0,5,0,0,50.0,53.8,76.8,,66.3,74.6,0,0,0,0,15,0.0,0,0,0,133.3,3,0,0,3,47,27,51,0,0,0,0,0,0,51,0,24,1,0,2,0,4,0,1,28,9,9.3
